tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state
Brisbane,Hard,A,2018-01-01,105992,Ryan Harrison,USA,104919,Leonardo Mayer,ARG
Brisbane,Hard,A,2018-01-01,111577,Jared Donaldson,USA,111442,Jordan Thompson,AUS
Brisbane,Hard,A,2018-01-01,104797,Denis Istomin,UZB,106000,Damir Dzumhur,BIH
Brisbane,Hard,A,2018-01-01,200282,Alex De Minaur,AUS,105449,Steve Johnson,USA
Brisbane,Hard,A,2018-01-01,111581,Michael Mmoh,USA,105643,Federico Delbonis,ARG
Brisbane,Hard,A,2018-01-01,104999,Mischa Zverev,GER,105441,John Patrick Smith,AUS
Brisbane,Hard,A,2018-01-01,105238,Alexandr Dolgopolov,UKR,106043,Diego Schwartzman,ARG
Brisbane,Hard,A,2018-01-01,104547,Horacio Zeballos,ARG,124014,Ernesto Escobedo,USA
Brisbane,Hard,A,2018-01-01,105051,Matthew Ebden,AUS,126207,Frances Tiafoe,USA
Brisbane,Hard,A,2018-01-01,111202,Hyeon Chung,KOR,104180,Gilles Muller,LUX
Brisbane,Hard,A,2018-01-01,106378,Kyle Edmund,GBR,133430,Denis Shapovalov,CAN
Brisbane,Hard,A,2018-01-01,105357,John Millman,AUS,105166,Peter Polansky,CAN
Brisbane,Hard,A,2018-01-01,105992,Ryan Harrison,USA,105870,Yannick Hanfmann,GER
Brisbane,Hard,A,2018-01-01,104797,Denis Istomin,UZB,111577,Jared Donaldson,USA
Brisbane,Hard,A,2018-01-01,200282,Alex De Minaur,AUS,105683,Milos Raonic,CAN
Brisbane,Hard,A,2018-01-01,111581,Michael Mmoh,USA,104999,Mischa Zverev,GER
Brisbane,Hard,A,2018-01-01,105238,Alexandr Dolgopolov,UKR,104547,Horacio Zeballos,ARG
Brisbane,Hard,A,2018-01-01,106401,Nick Kyrgios,AUS,105051,Matthew Ebden,AUS
Brisbane,Hard,A,2018-01-01,106378,Kyle Edmund,GBR,111202,Hyeon Chung,KOR
Brisbane,Hard,A,2018-01-01,105777,Grigor Dimitrov,BUL,105357,John Millman,AUS
Brisbane,Hard,A,2018-01-01,105992,Ryan Harrison,USA,104797,Denis Istomin,UZB
Brisbane,Hard,A,2018-01-01,200282,Alex De Minaur,AUS,111581,Michael Mmoh,USA
Brisbane,Hard,A,2018-01-01,106401,Nick Kyrgios,AUS,105238,Alexandr Dolgopolov,UKR
Brisbane,Hard,A,2018-01-01,105777,Grigor Dimitrov,BUL,106378,Kyle Edmund,GBR
Brisbane,Hard,A,2018-01-01,105992,Ryan Harrison,USA,200282,Alex De Minaur,AUS
Brisbane,Hard,A,2018-01-01,106401,Nick Kyrgios,AUS,105777,Grigor Dimitrov,BUL
Brisbane,Hard,A,2018-01-01,106401,Nick Kyrgios,AUS,105992,Ryan Harrison,USA
Doha,Hard,A,2018-01-01,106432,Borna Coric,CRO,105807,Pablo Carreno Busta,ESP
Doha,Hard,A,2018-01-01,105932,Nikoloz Basilashvili,GEO,105341,Thomas Fabbiano,ITA
Doha,Hard,A,2018-01-01,126094,Andrey Rublev,RUS,105649,Cedrik Marcel Stebe,GER
Doha,Hard,A,2018-01-01,104269,Fernando Verdasco,ESP,104534,Dudi Sela,ISR
Doha,Hard,A,2018-01-01,105550,Guido Pella,ARG,105077,Albert Ramos,ESP
Doha,Hard,A,2018-01-01,105882,Stefano Travaglia,ITA,106325,Jabor Al Mutawa,QAT
Doha,Hard,A,2018-01-01,105806,Mirza Basic,BIH,104890,Andreas Haider Maurer,AUT
Doha,Hard,A,2018-01-01,103852,Feliciano Lopez,ESP,104198,Guillermo Garcia Lopez,ESP
Doha,Hard,A,2018-01-01,105376,Peter Gojowczyk,GER,105936,Filip Krajinovic,SRB
Doha,Hard,A,2018-01-01,126610,Matteo Berrettini,ITA,104678,Viktor Troicki,SRB
Doha,Hard,A,2018-01-01,104792,Gael Monfils,FRA,103893,Paolo Lorenzi,ITA
Doha,Hard,A,2018-01-01,105526,Jan Lennard Struff,GER,104607,Tomas Berdych,CZE
Doha,Hard,A,2018-01-01,104755,Richard Gasquet,FRA,103607,Victor Estrella,DOM
Doha,Hard,A,2018-01-01,126774,Stefanos Tsitsipas,GRE,104252,Florian Mayer,GER
Doha,Hard,A,2018-01-01,105379,Aljaz Bedene,SLO,104291,Malek Jaziri,TUN
Doha,Hard,A,2018-01-01,106233,Dominic Thiem,AUT,105539,Evgeny Donskoy,RUS
Doha,Hard,A,2018-01-01,106432,Borna Coric,CRO,105932,Nikoloz Basilashvili,GEO
Doha,Hard,A,2018-01-01,126094,Andrey Rublev,RUS,104269,Fernando Verdasco,ESP
Doha,Hard,A,2018-01-01,105550,Guido Pella,ARG,105882,Stefano Travaglia,ITA
Doha,Hard,A,2018-01-01,105806,Mirza Basic,BIH,103852,Feliciano Lopez,ESP
Doha,Hard,A,2018-01-01,105376,Peter Gojowczyk,GER,126610,Matteo Berrettini,ITA
Doha,Hard,A,2018-01-01,104792,Gael Monfils,FRA,105526,Jan Lennard Struff,GER
Doha,Hard,A,2018-01-01,126774,Stefanos Tsitsipas,GRE,104755,Richard Gasquet,FRA
Doha,Hard,A,2018-01-01,106233,Dominic Thiem,AUT,105379,Aljaz Bedene,SLO
Doha,Hard,A,2018-01-01,126094,Andrey Rublev,RUS,106432,Borna Coric,CRO
Doha,Hard,A,2018-01-01,105550,Guido Pella,ARG,105806,Mirza Basic,BIH
Doha,Hard,A,2018-01-01,104792,Gael Monfils,FRA,105376,Peter Gojowczyk,GER
Doha,Hard,A,2018-01-01,106233,Dominic Thiem,AUT,126774,Stefanos Tsitsipas,GRE
Doha,Hard,A,2018-01-01,126094,Andrey Rublev,RUS,105550,Guido Pella,ARG
Doha,Hard,A,2018-01-01,104792,Gael Monfils,FRA,106233,Dominic Thiem,AUT
Doha,Hard,A,2018-01-01,104792,Gael Monfils,FRA,126094,Andrey Rublev,RUS
Pune,Hard,A,2018-01-01,106329,Thiago Monteiro,BRA,105074,Ruben Bemelmans,BEL
Pune,Hard,A,2018-01-01,111513,Laslo Djere,SRB,105657,Marius Copil,ROU
Pune,Hard,A,2018-01-01,105062,Mikhail Kukushkin,KAZ,105430,Radu Albot,MDA
Pune,Hard,A,2018-01-01,105916,Marton Fucsovics,HUN,106044,Nicolas Kicker,ARG
Pune,Hard,A,2018-01-01,111797,Nicolas Jarry,CHI,104665,Pablo Andujar,ESP
Pune,Hard,A,2018-01-01,104898,Robin Haase,NED,104882,Blaz Kavcic,SLO
Pune,Hard,A,2018-01-01,106120,Ricardo Ojeda Lara,ESP,106210,Jiri Vesely,CZE
Pune,Hard,A,2018-01-01,125802,Ilya Ivashka,BLR,111576,Sumit Nagal,IND
Pune,Hard,A,2018-01-01,104468,Gilles Simon,FRA,105815,Tennys Sandgren,USA
Pune,Hard,A,2018-01-01,105732,Pierre Hugues Herbert,FRA,106065,Marco Cecchinato,ITA
Pune,Hard,A,2018-01-01,106026,Yuki Bhambri,IND,111459,Arjun Kadhe,IND
Pune,Hard,A,2018-01-01,106368,Ramkumar Ramanathan,IND,106148,Roberto Carballes Baena,ESP
Pune,Hard,A,2018-01-01,104731,Kevin Anderson,RSA,106329,Thiago Monteiro,BRA
Pune,Hard,A,2018-01-01,105062,Mikhail Kukushkin,KAZ,111513,Laslo Djere,SRB
Pune,Hard,A,2018-01-01,105332,Benoit Paire,FRA,105916,Marton Fucsovics,HUN
Pune,Hard,A,2018-01-01,104898,Robin Haase,NED,111797,Nicolas Jarry,CHI
Pune,Hard,A,2018-01-01,106120,Ricardo Ojeda Lara,ESP,125802,Ilya Ivashka,BLR
Pune,Hard,A,2018-01-01,104468,Gilles Simon,FRA,105138,Roberto Bautista Agut,ESP
Pune,Hard,A,2018-01-01,105732,Pierre Hugues Herbert,FRA,106026,Yuki Bhambri,IND
Pune,Hard,A,2018-01-01,105227,Marin Cilic,CRO,106368,Ramkumar Ramanathan,IND
Pune,Hard,A,2018-01-01,104731,Kevin Anderson,RSA,105062,Mikhail Kukushkin,KAZ
Pune,Hard,A,2018-01-01,105332,Benoit Paire,FRA,104898,Robin Haase,NED
Pune,Hard,A,2018-01-01,104468,Gilles Simon,FRA,106120,Ricardo Ojeda Lara,ESP
Pune,Hard,A,2018-01-01,105227,Marin Cilic,CRO,105732,Pierre Hugues Herbert,FRA
Pune,Hard,A,2018-01-01,104731,Kevin Anderson,RSA,105332,Benoit Paire,FRA
Pune,Hard,A,2018-01-01,104468,Gilles Simon,FRA,105227,Marin Cilic,CRO
Pune,Hard,A,2018-01-01,104468,Gilles Simon,FRA,104731,Kevin Anderson,RSA
Auckland,Hard,A,2018-01-08,133430,Denis Shapovalov,CAN,104297,Rogerio Dutra Silva,BRA
