tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,winner_rank,winner_points,loser_rank,loser_points
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,106421,Daniil Medvedev,RUS,13,2180,5,5705
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104542,Jo-Wilfried Tsonga,FRA,5,5705,29,1410
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,104871,Jeremy Chardy,FRA,13,2180,51,990
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,200282,Alex De Minaur,AUS,29,1410,18,1775
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,105683,Milos Raonic,CAN,5,5705,31,1350
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106034,Yasutaka Uchiyama,JPN,51,990,81,651
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,105777,Grigor Dimitrov,BUL,13,2180,20,1747
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,106121,Taro Daniel,JPN,29,1410,110,501
Brisbane,Hard,A,2018-12-31,200282,Alex De Minaur,AUS,111442,Jordan Thompson,AUS,18,1775,63,878
Brisbane,Hard,A,2018-12-31,106421,Daniil Medvedev,RUS,104918,Andy Murray,GBR,5,5705,125,442
Brisbane,Hard,A,2018-12-31,105683,Milos Raonic,CAN,200175,Miomir Kecmanovic,SRB,31,1350,59,901
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,106401,Nick Kyrgios,AUS,51,990,30,1395
Brisbane,Hard,A,2018-12-31,106034,Yasutaka Uchiyama,JPN,106378,Kyle Edmund,GBR,81,651,69,800
Brisbane,Hard,A,2018-12-31,105777,Grigor Dimitrov,BUL,105357,John Millman,AUS,20,1747,48,1026
Brisbane,Hard,A,2018-12-31,105453,Kei Nishikori,JPN,106045,Denis Kudla,USA,13,2180,113,491
Brisbane,Hard,A,2018-12-31,104542,Jo-Wilfried Tsonga,FRA,106423,Thanasi Kokkinakis,AUS,29,1410,199,256
Brisbane,Hard,A,2018-12-31,111442,Jordan Thompson,AUS,106109,Alex Bolt,AUS,63,878,159,328
Brisbane,Hard,A,2018-12-31,200282,Alex De Minaur,AUS,200615,Alexei Popyrin,AUS,18,1775,97,585
Brisbane,Hard,A,2018-12-31,104918,Andy Murray,GBR,105902,James Duckworth,AUS,125,442,100,576
Brisbane,Hard,A,2018-12-31,200175,Miomir Kecmanovic,SRB,104919,Leonardo Mayer,ARG,59,901,92,603
Brisbane,Hard,A,2018-12-31,105683,Milos Raonic,CAN,105379,Aljaz Bedene,SLO,31,1350,58,905
Brisbane,Hard,A,2018-12-31,106401,Nick Kyrgios,AUS,105992,Ryan Harrison,USA,30,1395,302,131
Brisbane,Hard,A,2018-12-31,104871,Jeremy Chardy,FRA,105526,Jan Lennard Struff,GER,51,990,35,1245
Brisbane,Hard,A,2018-12-31,106034,Yasutaka Uchiyama,JPN,200005,Ugo Humbert,FRA,81,651,57,912
Brisbane,Hard,A,2018-12-31,105777,Grigor Dimitrov,BUL,106415,Yoshihito Nishioka,JPN,20,1747,73,764
Brisbane,Hard,A,2018-12-31,105357,John Millman,AUS,105815,Tennys Sandgren,USA,48,1026,68,803
Brisbane,Hard,A,2018-12-31,106045,Denis Kudla,USA,126203,Taylor Fritz,USA,113,491,32,1315
Doha,Hard,A,2018-12-31,105138,Roberto Bautista Agut,ESP,104607,Tomas Berdych,CZE,9,2540,0,0
Doha,Hard,A,2018-12-31,105138,Roberto Bautista Agut,ESP,104925,Novak Djokovic,SRB,9,2540,2,9145
Doha,Hard,A,2018-12-31,104607,Tomas Berdych,CZE,106065,Marco Cecchinato,ITA,0,0,71,780
Doha,Hard,A,2018-12-31,104925,Novak Djokovic,SRB,105932,Nikoloz Basilashvili,GEO,2,9145,26,1450
