tourney_name,surface,tourney_level,date,winner_id,winner_name,winner_state,loser_id,loser_name,loser_state,closest,days_bt_x_and_y,winner_rank,winner_points,loser_rank,loser_points
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104745,Rafael Nadal,ESP,2020-01-06,0 days,2.0,9055.0,1.0,9985.0
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,105583,Dusan Lajovic,SRB,2020-01-06,0 days,10.0,2335.0,34.0,1251.0
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,106421,Daniil Medvedev,RUS,2020-01-06,0 days,2.0,9055.0,5.0,5705.0
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,111575,Karen Khachanov,RUS,2020-01-06,0 days,34.0,1251.0,17.0,1840.0
Atp Cup,Hard,A,2020-01-06,104745,Rafael Nadal,ESP,200282,Alex De Minaur,AUS,2020-01-06,0 days,1.0,9985.0,18.0,1775.0
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106401,Nick Kyrgios,AUS,2020-01-06,0 days,10.0,2335.0,29.0,1375.0
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,133430,Denis Shapovalov,CAN,2020-01-06,0 days,2.0,9055.0,14.0,2050.0
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,200000,Felix Auger Aliassime,CAN,2020-01-06,0 days,34.0,1251.0,21.0,1636.0
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,106043,Diego Schwartzman,ARG,2020-01-06,0 days,5.0,5705.0,13.0,2125.0
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,105550,Guido Pella,ARG,2020-01-06,0 days,17.0,1840.0,25.0,1530.0
Atp Cup,Hard,A,2020-01-06,105554,Daniel Evans,GBR,200282,Alex De Minaur,AUS,2020-01-06,0 days,42.0,1124.0,18.0,1775.0
Atp Cup,Hard,A,2020-01-06,106401,Nick Kyrgios,AUS,111815,Cameron Norrie,GBR,2020-01-06,0 days,29.0,1375.0,52.0,975.0
Atp Cup,Hard,A,2020-01-06,105676,David Goffin,BEL,104745,Rafael Nadal,ESP,2020-01-06,0 days,11.0,2335.0,1.0,9985.0
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106293,Kimmer Coppejans,BEL,2020-01-06,0 days,10.0,2335.0,158.0,328.0
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104792,Gael Monfils,FRA,2020-01-06,0 days,2.0,9055.0,9.0,2530.0
Atp Cup,Hard,A,2020-01-06,105332,Benoit Paire,FRA,105583,Dusan Lajovic,SRB,2020-01-06,0 days,24.0,1538.0,34.0,1251.0
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,104731,Kevin Anderson,RSA,2020-01-06,0 days,2.0,9055.0,147.0,360.0
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,144750,Lloyd Harris,RSA,2020-01-06,0 days,34.0,1251.0,99.0,569.0
Atp Cup,Hard,A,2020-01-06,104925,Novak Djokovic,SRB,106426,Christian Garin,CHI,2020-01-06,0 days,2.0,9055.0,33.0,1291.0
Atp Cup,Hard,A,2020-01-06,105583,Dusan Lajovic,SRB,111797,Nicolas Jarry,CHI,2020-01-06,0 days,34.0,1251.0,77.0,675.0
Atp Cup,Hard,A,2020-01-06,104731,Kevin Anderson,RSA,105332,Benoit Paire,FRA,2020-01-06,0 days,147.0,360.0,24.0,1538.0
Atp Cup,Hard,A,2020-01-06,104468,Gilles Simon,FRA,144750,Lloyd Harris,RSA,2020-01-06,0 days,57.0,910.0,99.0,569.0
Atp Cup,Hard,A,2020-01-06,104792,Gael Monfils,FRA,106426,Christian Garin,CHI,2020-01-06,0 days,9.0,2530.0,33.0,1291.0
Atp Cup,Hard,A,2020-01-06,105332,Benoit Paire,FRA,111797,Nicolas Jarry,CHI,2020-01-06,0 days,24.0,1538.0,77.0,675.0
Atp Cup,Hard,A,2020-01-06,104731,Kevin Anderson,RSA,106426,Christian Garin,CHI,2020-01-06,0 days,147.0,360.0,33.0,1291.0
Atp Cup,Hard,A,2020-01-06,144750,Lloyd Harris,RSA,111797,Nicolas Jarry,CHI,2020-01-06,0 days,99.0,569.0,77.0,675.0
Atp Cup,Hard,A,2020-01-06,104745,Rafael Nadal,ESP,106415,Yoshihito Nishioka,JPN,2020-01-06,0 days,1.0,9985.0,72.0,764.0
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,104424,Go Soeda,JPN,2020-01-06,0 days,10.0,2335.0,119.0,461.0
Atp Cup,Hard,A,2020-01-06,104745,Rafael Nadal,ESP,105932,Nikoloz Basilashvili,GEO,2020-01-06,0 days,1.0,9985.0,26.0,1450.0
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,106223,Aleksandre Metreveli,GEO,2020-01-06,0 days,10.0,2335.0,678.0,29.0
Atp Cup,Hard,A,2020-01-06,104745,Rafael Nadal,ESP,104655,Pablo Cuevas,URU,2020-01-06,0 days,1.0,9985.0,45.0,1097.0
Atp Cup,Hard,A,2020-01-06,105138,Roberto Bautista Agut,ESP,208364,Franco Roncadelli,URU,2020-01-06,0 days,10.0,2335.0,0.0,0.0
Atp Cup,Hard,A,2020-01-06,106415,Yoshihito Nishioka,JPN,105932,Nikoloz Basilashvili,GEO,2020-01-06,0 days,72.0,764.0,26.0,1450.0
Atp Cup,Hard,A,2020-01-06,104424,Go Soeda,JPN,106223,Aleksandre Metreveli,GEO,2020-01-06,0 days,119.0,461.0,678.0,29.0
Atp Cup,Hard,A,2020-01-06,106415,Yoshihito Nishioka,JPN,104655,Pablo Cuevas,URU,2020-01-06,0 days,72.0,764.0,45.0,1097.0
Atp Cup,Hard,A,2020-01-06,104424,Go Soeda,JPN,105899,Martin Cuevas,URU,2020-01-06,0 days,119.0,461.0,523.0,52.0
Atp Cup,Hard,A,2020-01-06,105932,Nikoloz Basilashvili,GEO,104655,Pablo Cuevas,URU,2020-01-06,0 days,26.0,1450.0,45.0,1097.0
Atp Cup,Hard,A,2020-01-06,106223,Aleksandre Metreveli,GEO,208364,Franco Roncadelli,URU,2020-01-06,0 days,678.0,29.0,0.0,0.0
Atp Cup,Hard,A,2020-01-06,105554,Daniel Evans,GBR,105676,David Goffin,BEL,2020-01-06,0 days,42.0,1124.0,11.0,2335.0
Atp Cup,Hard,A,2020-01-06,104327,Steve Darcis,BEL,111815,Cameron Norrie,GBR,2020-01-06,0 days,200.0,242.0,52.0,975.0
Atp Cup,Hard,A,2020-01-06,105676,David Goffin,BEL,105777,Grigor Dimitrov,BUL,2020-01-06,0 days,11.0,2335.0,20.0,1702.0
Atp Cup,Hard,A,2020-01-06,106220,Dimitar Kuzmanov,BUL,104327,Steve Darcis,BEL,2020-01-06,0 days,417.0,80.0,200.0,242.0
Atp Cup,Hard,A,2020-01-06,105676,David Goffin,BEL,105430,Radu Albot,MDA,2020-01-06,0 days,11.0,2335.0,46.0,1067.0
Atp Cup,Hard,A,2020-01-06,104327,Steve Darcis,BEL,126612,Alexander Cozbinov,MDA,2020-01-06,0 days,200.0,242.0,816.0,18.0
Atp Cup,Hard,A,2020-01-06,105777,Grigor Dimitrov,BUL,105554,Daniel Evans,GBR,2020-01-06,0 days,20.0,1702.0,42.0,1124.0
Atp Cup,Hard,A,2020-01-06,111815,Cameron Norrie,GBR,106220,Dimitar Kuzmanov,BUL,2020-01-06,0 days,52.0,975.0,417.0,80.0
Atp Cup,Hard,A,2020-01-06,105554,Daniel Evans,GBR,105430,Radu Albot,MDA,2020-01-06,0 days,42.0,1124.0,46.0,1067.0
Atp Cup,Hard,A,2020-01-06,111815,Cameron Norrie,GBR,126612,Alexander Cozbinov,MDA,2020-01-06,0 days,52.0,975.0,816.0,18.0
Atp Cup,Hard,A,2020-01-06,105777,Grigor Dimitrov,BUL,105430,Radu Albot,MDA,2020-01-06,0 days,20.0,1702.0,46.0,1067.0
Atp Cup,Hard,A,2020-01-06,106220,Dimitar Kuzmanov,BUL,126612,Alexander Cozbinov,MDA,2020-01-06,0 days,417.0,80.0,816.0,18.0
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,104926,Fabio Fognini,ITA,2020-01-06,0 days,5.0,5705.0,12.0,2290.0
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,105882,Stefano Travaglia,ITA,2020-01-06,0 days,17.0,1840.0,82.0,637.0
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,104545,John Isner,USA,2020-01-06,0 days,5.0,5705.0,19.0,1770.0
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,126203,Taylor Fritz,USA,2020-01-06,0 days,17.0,1840.0,31.0,1315.0
Atp Cup,Hard,A,2020-01-06,106421,Daniil Medvedev,RUS,134770,Casper Ruud,NOR,2020-01-06,0 days,5.0,5705.0,53.0,949.0
Atp Cup,Hard,A,2020-01-06,111575,Karen Khachanov,RUS,126340,Viktor Durasovic,NOR,2020-01-06,0 days,17.0,1840.0,329.0,117.0
Atp Cup,Hard,A,2020-01-06,104926,Fabio Fognini,ITA,104545,John Isner,USA,2020-01-06,0 days,12.0,2290.0,19.0,1770.0
Atp Cup,Hard,A,2020-01-06,105882,Stefano Travaglia,ITA,126203,Taylor Fritz,USA,2020-01-06,0 days,82.0,637.0,31.0,1315.0
