id,name,state,rank,points
105453,Kei Nishikori,JPN,13,2180
106421,Daniil Medvedev,RUS,5,5705
104542,Jo-Wilfried Tsonga,FRA,29,1410
104871,Jeremy Chardy,FRA,51,990
200282,Alex De Minaur,AUS,18,1775
105683,Milos Raonic,CAN,31,1350
106034,Yasutaka Uchiyama,JPN,81,651
105777,Grigor Dimitrov,BUL,20,1747
111442,Jordan Thompson,AUS,63,878
104918,Andy Murray,GBR,125,442
200175,Miomir Kecmanovic,SRB,59,901
106401,Nick Kyrgios,AUS,30,1395
105357,John Millman,AUS,48,1026
106045,Denis Kudla,USA,113,491
105138,Roberto Bautista Agut,ESP,9,2540
104607,Tomas Berdych,CZE,0,0
104925,Novak Djokovic,SRB,2,9145
106065,Marco Cecchinato,ITA,71,780
105932,Nikoloz Basilashvili,GEO,26,1450
104527,Stan Wawrinka,SUI,16,2000
105583,Dusan Lajovic,SRB,34,1296
105732,Pierre Hugues Herbert,FRA,65,865
105916,Marton Fucsovics,HUN,70,790
126094,Andrey Rublev,RUS,23,1584
111797,Nicolas Jarry,CHI,77,695
104198,Guillermo Garcia Lopez,ESP,144,370
105575,Ricardas Berankis,LTU,66,836
105550,Guido Pella,ARG,25,1530
104269,Fernando Verdasco,ESP,49,1025
109739,Maximilian Marterer,GER,239,198
104731,Kevin Anderson,RSA,91,610
103333,Ivo Karlovic,CRO,95,586
104468,Gilles Simon,FRA,55,955
104327,Steve Darcis,BEL,157,332
144719,Jaume Munar,ESP,86,628
105332,Benoit Paire,FRA,24,1538
104291,Malek Jaziri,TUN,201,251
105208,Ernests Gulbis,LAT,226,216
111513,Laslo Djere,SRB,38,1171
104620,Simone Bolelli,ITA,334,116
125802,Ilya Ivashka,BLR,131,422
106210,Jiri Vesely,CZE,105,544
111581,Michael Mmoh,USA,218,227
106368,Ramkumar Ramanathan,IND,174,293
105539,Evgeny Donskoy,RUS,112,497
105815,Tennys Sandgren,USA,68,803
111815,Cameron Norrie,GBR,53,975
105526,Jan Lennard Struff,GER,35,1245
104259,Philipp Kohlschreiber,GER,79,665
126203,Taylor Fritz,USA,32,1315
105807,Pablo Carreno Busta,ESP,27,1422
104919,Leonardo Mayer,ARG,92,603
104926,Fabio Fognini,ITA,12,2290
105311,Joao Sousa,POR,60,891
103970,David Ferrer,ESP,0,0
104907,Jose Rubin Statham,NZL,689,28
126610,Matteo Berrettini,ITA,8,2870
200005,Ugo Humbert,FRA,57,912
105376,Peter Gojowczyk,GER,117,473
104312,Andreas Seppi,ITA,72,776
106043,Diego Schwartzman,ARG,14,2125
126774,Stefanos Tsitsipas,GRE,6,5300
